iter	Logloss
0	0.6918255711
1	0.6904396025
2	0.6891548207
3	0.6874917894
4	0.6860783471
5	0.6844296638
6	0.6832594531
7	0.6820994616
8	0.6809199626
9	0.6796218786
10	0.678391931
11	0.6771604957
12	0.6759947563
13	0.6747955009
14	0.6733777357
15	0.6721118693
16	0.6707074977
17	0.669516417
18	0.6682763499
19	0.6670539255
20	0.665923113
21	0.6647845711
22	0.6635096364
23	0.6622914714
24	0.6610395402
25	0.6594270107
26	0.6581929063
27	0.6569996226
28	0.6553857134
29	0.6540548401
30	0.6528919319
31	0.6517214196
32	0.6505439163
33	0.6493101695
34	0.6480275163
35	0.6464401228
36	0.6453330941
37	0.6441325671
38	0.6429360575
39	0.6418747952
40	0.6407062852
41	0.6394795227
42	0.6379834069
43	0.6366372618
44	0.6355778681
45	0.6343987381
46	0.6333576939
47	0.6320288652
48	0.6304699924
49	0.6293196553
50	0.6280781718
51	0.6269242346
52	0.6256922992
53	0.6245764336
54	0.6233427579
55	0.6218168556
