iter	Passed	Remaining
0	3	3869
1	6	3825
2	9	3706
3	12	3731
4	15	3728
5	18	3732
6	21	3713
7	24	3657
8	27	3626
9	30	3630
10	33	3629
11	36	3622
12	39	3634
13	43	3665
14	46	3659
15	49	3658
16	52	3658
17	55	3628
18	58	3622
19	61	3610
20	64	3608
21	67	3599
22	70	3579
23	72	3565
24	75	3552
25	78	3530
26	81	3525
27	84	3538
28	87	3525
29	90	3511
30	92	3493
31	95	3486
32	98	3478
33	101	3477
34	104	3487
35	107	3482
36	110	3478
37	113	3478
38	117	3480
39	119	3473
40	122	3460
41	125	3446
42	127	3439
43	130	3428
44	133	3422
45	136	3414
46	139	3409
47	141	3404
48	144	3396
49	147	3397
50	150	3390
51	153	3384
52	156	3385
53	159	3383
54	162	3381
55	165	3376
